ID,Metrekare,OdaSayisi,BinaYasi,Sehir,Ilce,Fiyat
3.8,111 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","2.500.000
TL"
3.9,110 m²,2 + 1,21 Yaşında,İzmir,"Balçova, Onur Mahallesi","2.250.000
TL"
3.10,75 m²,2 + 1,8 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","1.800.000
TL"
3.11,91 m²,6 + 1,35 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","2.500.000
TL"
3.12,550 m²,6 + 3,12 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","40.000.000
TL"
3.13,142 m²,3 + 1,34 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","3.350.000
TL"
3.14,90 m²,2 + 1,8 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","4.200.000
TL"
3.15,115 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","3.500.000
TL"
3.16,400 m²,6 + 2,12 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","26.500.000
TL"
3.17,120 m²,2 + 1,27 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","3.150.000
TL"
3.18,87 m²,2 + 1,Sıfır Bina,İzmir,"Balçova, Eğitim Mahallesi","4.250.000
TL"
3.19,110 m²,2 + 1,21 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","2.500.000
TL"
3.20,90 m²,2 + 1,30 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","1.990.000
TL"
3.21,95 m²,2 + 1,10 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","3.275.000
TL"
3.22,170 m²,3 + 1,13 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","15.500.000
TL"
3.23,120 m²,3 + 1,36 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","3.500.000
TL"
3.24,80 m²,2 + 1,35 Yaşında,İzmir,"Balçova, Onur Mahallesi","2.650.000
TL"
4.1,145 m²,3 + 1,38 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","2.500.000
TL"
4.2,160 m²,3 + 1,33 Yaşında,İzmir,"Balçova, Onur Mahallesi","3.500.000
TL"
4.3,85 m²,2 + 1,31 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","3.100.000
TL"
4.4,182 m²,3 + 1,13 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","5.000.000
TL"
4.5,356 m²,5 + 1,Sıfır Bina,İzmir,"Balçova, Çetin Emeç Mahallesi","18.500.000
TL"
4.6,118 m²,3 + 1,5 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","5.800.000
TL"
4.7,120 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","2.250.000
TL"
4.8,105 m²,2 + 1,30 Yaşında,İzmir,"Balçova, Onur Mahallesi","2.250.000
TL"
4.9,110 m²,3 + 1,26 Yaşında,İzmir,"Balçova, Onur Mahallesi","3.150.000
TL"
4.10,58 m²,1 + 1,2 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","2.250.000
TL"
4.11,280 m²,4 + 2,20 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","15.500.000
TL"
4.12,160 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","4.500.000
TL"
4.13,160 m²,2 + 1,28 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","2.500.000
TL"
4.14,55 m²,1 + 1,6 Yaşında,İzmir,"Balçova, Onur Mahallesi","3.000.000
TL"
4.15,245 m²,3 + 1,13 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","5.000.000
TL"
4.16,400 m²,5 + 2,21 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","48.000.000
TL"
4.17,132 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","3.500.000
TL"
4.18,135 m²,3 + 1,26 Yaşında,İzmir,"Balçova, Onur Mahallesi","3.650.000
TL"
4.19,320 m²,4 + 2,31 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","20.900.000
TL"
4.20,95 m²,2 + 1,Sıfır Bina,İzmir,"Balçova, Eğitim Mahallesi","4.750.000
TL"
4.21,210 m²,5 + 1,5 Yaşında,İzmir,"Balçova, Onur Mahallesi","11.850.000
TL"
4.22,100 m²,2 + 1,15 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","3.150.000
TL"
4.23,145 m²,3 + 1,Sıfır Bina,İzmir,"Balçova, Onur Mahallesi","6.500.000
TL"
4.24,209 m²,4 + 1,14 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","14.750.000
TL"
5.1,230 m²,3 + 1,17 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","5.650.000
TL"
5.2,75 m²,2 + 1,3 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","3.500.000
TL"
5.3,125 m²,3 + 1,29 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","2.100.000
TL"
5.4,135 m²,3 + 1,27 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","2.700.000
TL"
5.5,55 m²,1 + 1,4 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","2.050.000
TL"
5.6,120 m²,3 + 1,35 Yaşında,İzmir,"Balçova, Onur Mahallesi","2.750.000
TL"
5.7,115 m²,2 + 1,4 Yaşında,İzmir,"Balçova, Onur Mahallesi","4.250.000
TL"
5.8,110 m²,2 + 1,26 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","2.800.000
TL"
5.9,75 m²,2 + 1,5 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","3.500.000
TL"
5.10,35 m²,1 + 1,26 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","1.500.000
TL"
5.11,130 m²,3 + 1,24 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","5.500.000
TL"
5.12,100 m²,2 + 1,30 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","2.200.000
TL"
5.13,120 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","2.850.000
TL"
5.14,119 m²,2 + 1,3 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","1.850.000
TL"
5.15,130 m²,3 + 1,31 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","4.250.000
TL"
5.16,128 m²,2 + 1,5 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","4.250.000
TL"
5.17,265 m²,4 + 1,10 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","25.000.000
TL"
5.18,80 m²,2 + 1,42 Yaşında,İzmir,"Balçova, Onur Mahallesi","2.500.000
TL"
5.19,100 m²,2 + 1,5 Yaşında,İzmir,"Balçova, Onur Mahallesi","4.250.000
TL"
5.20,95 m²,2 + 1,20 Yaşında,İzmir,"Balçova, Onur Mahallesi","4.000.000
TL"
5.21,135 m²,3 + 1,28 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","2.800.000
TL"
5.22,100 m²,2 + 1,30 Yaşında,İzmir,"Balçova, Onur Mahallesi","2.250.000
TL"
5.23,120 m²,2 + 1,28 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","3.150.000
TL"
5.24,145 m²,3 + 1,28 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","6.500.000
TL"
6.1,137 m²,3 + 1,35 Yaşında,İzmir,"Balçova, Onur Mahallesi","3.500.000
TL"
6.2,150 m²,3 + 1,7 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","4.500.000
TL"
6.3,110 m²,2 + 1,25 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","2.190.000
TL"
6.4,55 m²,1 + 1,6 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","2.780.000
TL"
6.5,145 m²,3 + 1,6 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","4.650.000
TL"
6.6,100 m²,2 + 1,8 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","3.000.000
TL"
6.7,188 m²,3 + 1,21 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","9.500.000
TL"
6.8,115 m²,2 + 1,4 Yaşında,İzmir,"Balçova, Onur Mahallesi","4.450.000
TL"
6.9,120 m²,3 + 1,32 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","3.000.000
TL"
6.10,121 m²,3 + 1,12 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","4.500.000
TL"
6.11,135 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","3.650.000
TL"
6.12,88 m²,2 + 1,26 Yaşında,İzmir,"Balçova, Onur Mahallesi","2.800.000
TL"
6.13,135 m²,3 + 1,18 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","4.500.000
TL"
6.14,120 m²,3 + 1,26 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","2.622.000
TL"
6.15,150 m²,3 + 1,18 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","3.600.000
TL"
6.16,115 m²,3 + 1,46 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","2.500.000
TL"
6.17,90 m²,2 + 1,4 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","3.900.000
TL"
